txnid,txn_id,payment_mode,amount,convenience_charge,firstname,email,phone,productinfo,udf1,udf2,udf3,json_payload
2606306a435a63e385c,DEVTXN648473,UPI,38680.00,383.00,Father,gdcv@bvcbnds.com,7467464234,Payment of due invoices as on - June 30 2026,923516:923515:923514:923513:923512,0,3700:16000:3500:5499:9598,"{""status"":""success"",""txnid"":""2606306a435a63e385c"",""txn_id"":""DEVTXN648473"",""payment_mode"":""UPI"",""payment_sub_inst"":"""",""amount"":""38680.00"",""convenience_charge"":""383.00"",""firstname"":""Father"",""email"":""gdcv@bvcbnds.com"",""phone"":""7467464234"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""923516:923515:923514:923513:923512"",""udf2"":0,""udf3"":""3700:16000:3500:5499:9598"",""error_Message"":""""}"
2606306a435a764e84a,DEVTXN840753,UPI,20198.00,200.00,Mohammed Suneer,70377_father@gmail.com,1816042836,Payment of due invoices as on - June 30 2026,923160:921439:921438,1000,9999:3500:5499,"{""status"":""success"",""txnid"":""2606306a435a764e84a"",""txn_id"":""DEVTXN840753"",""payment_mode"":""UPI"",""payment_sub_inst"":"""",""amount"":""20198.00"",""convenience_charge"":""200.00"",""firstname"":""Mohammed Suneer"",""email"":""70377_father@gmail.com"",""phone"":""1816042836"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""923160:921439:921438"",""udf2"":1000,""udf3"":""9999:3500:5499"",""error_Message"":""""}"
2606306a435a889cb16,DEVTXN147521,UPI,28067.00,278.00,Lokesh Kumar Vakkapatla,70282_father@gmail.com,1057560151,Payment of due invoices as on - June 30 2026,922686:921409:921408:921407,0,2790:16000:3500:5499,"{""status"":""success"",""txnid"":""2606306a435a889cb16"",""txn_id"":""DEVTXN147521"",""payment_mode"":""UPI"",""payment_sub_inst"":"""",""amount"":""28067.00"",""convenience_charge"":""278.00"",""firstname"":""Lokesh Kumar Vakkapatla"",""email"":""70282_father@gmail.com"",""phone"":""1057560151"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""922686:921409:921408:921407"",""udf2"":0,""udf3"":""2790:16000:3500:5499"",""error_Message"":""""}"
2606306a435a9ab843c,DEVTXN526130,UPI,16288.00,161.00,Pranav Prakash,70243_father@gmail.com,1604395305,Payment of due invoices as on - June 30 2026,923304:921402:921401,0,7128:3500:5499,"{""status"":""success"",""txnid"":""2606306a435a9ab843c"",""txn_id"":""DEVTXN526130"",""payment_mode"":""UPI"",""payment_sub_inst"":"""",""amount"":""16288.00"",""convenience_charge"":""161.00"",""firstname"":""Pranav Prakash"",""email"":""70243_father@gmail.com"",""phone"":""1604395305"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""923304:921402:921401"",""udf2"":0,""udf3"":""7128:3500:5499"",""error_Message"":""""}"
2606306a435acd55249,DEVTXN201059,CARD,19792.00,388.00,Veer Singh,sunita.fprints@gmail.com,8978909809,Payment of due invoices as on - June 30 2026,924994:924993:924992:924991,0,807:3500:5499:9598,"{""status"":""success"",""txnid"":""2606306a435acd55249"",""txn_id"":""DEVTXN201059"",""payment_mode"":""CARD"",""payment_sub_inst"":""CC"",""amount"":""19792.00"",""convenience_charge"":""388.00"",""firstname"":""Veer Singh"",""email"":""sunita.fprints@gmail.com"",""phone"":""8978909809"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""924994:924993:924992:924991"",""udf2"":0,""udf3"":""807:3500:5499:9598"",""error_Message"":""""}"
2606306a435adf414f8,DEVTXN310351,CARD,36044.00,707.00,Karan,raam@gmail.com,98776654332,Payment of due invoices as on - June 30 2026,924990:924989:924988:924987:924986,0,740:16000:3500:5499:9598,"{""status"":""success"",""txnid"":""2606306a435adf414f8"",""txn_id"":""DEVTXN310351"",""payment_mode"":""CARD"",""payment_sub_inst"":""CC"",""amount"":""36044.00"",""convenience_charge"":""707.00"",""firstname"":""Karan"",""email"":""raam@gmail.com"",""phone"":""98776654332"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""924990:924989:924988:924987:924986"",""udf2"":0,""udf3"":""740:16000:3500:5499:9598"",""error_Message"":""""}"
2606306a435af11e290,DEVTXN392799,CARD,663.00,13.00,Gaurav Khandelwal,55863_father@gmail.com,1027476109,Payment of due invoices as on - June 30 2026,924985,0,650,"{""status"":""success"",""txnid"":""2606306a435af11e290"",""txn_id"":""DEVTXN392799"",""payment_mode"":""CARD"",""payment_sub_inst"":""CC"",""amount"":""663.00"",""convenience_charge"":""13.00"",""firstname"":""Gaurav Khandelwal"",""email"":""55863_father@gmail.com"",""phone"":""1027476109"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""924985"",""udf2"":0,""udf3"":""650"",""error_Message"":""""}"
2606306a435b03180ce,DEVTXN939407,CARD,35392.00,694.00,Test Contract,test_contract@gmail.com,342642645645,Payment of due invoices as on - June 30 2026,924984:924983:924982:924981:924980,0,1599:16000:3500:4000:9599,"{""status"":""success"",""txnid"":""2606306a435b03180ce"",""txn_id"":""DEVTXN939407"",""payment_mode"":""CARD"",""payment_sub_inst"":""CC"",""amount"":""35392.00"",""convenience_charge"":""694.00"",""firstname"":""Test Contract"",""email"":""test_contract@gmail.com"",""phone"":""342642645645"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""924984:924983:924982:924981:924980"",""udf2"":0,""udf3"":""1599:16000:3500:4000:9599"",""error_Message"":""""}"
2606306a435b152bee8,DEVTXN188560,CARD,35901.00,704.00,Sameer,sameer@gmail.com,8776454332,Payment of due invoices as on - June 30 2026,924974:924973:924972:924971:924970,0,600:16000:3500:5499:9598,"{""status"":""success"",""txnid"":""2606306a435b152bee8"",""txn_id"":""DEVTXN188560"",""payment_mode"":""CARD"",""payment_sub_inst"":""CC"",""amount"":""35901.00"",""convenience_charge"":""704.00"",""firstname"":""Sameer"",""email"":""sameer@gmail.com"",""phone"":""8776454332"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""924974:924973:924972:924971:924970"",""udf2"":0,""udf3"":""600:16000:3500:5499:9598"",""error_Message"":""""}"
2606306a435b26ef786,DEVTXN375387,CARD,40466.00,793.00,Yash,yash@gmail.com,8776454332,Payment of due invoices as on - June 30 2026,924852:924851:924850:924849,0,21076:3500:5499:9598,"{""status"":""success"",""txnid"":""2606306a435b26ef786"",""txn_id"":""DEVTXN375387"",""payment_mode"":""CARD"",""payment_sub_inst"":""CC"",""amount"":""40466.00"",""convenience_charge"":""793.00"",""firstname"":""Yash"",""email"":""yash@gmail.com"",""phone"":""8776454332"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""924852:924851:924850:924849"",""udf2"":0,""udf3"":""21076:3500:5499:9598"",""error_Message"":""""}"
2606306a435b38c04c0,DEVTXN769135,CARD,45101.00,884.00,Sameer,sameer@gmail.com,8721323233,Payment of due invoices as on - June 30 2026,924682:924681:924680:924679:924678,0,9620:16000:3500:5499:9598,"{""status"":""success"",""txnid"":""2606306a435b38c04c0"",""txn_id"":""DEVTXN769135"",""payment_mode"":""CARD"",""payment_sub_inst"":""CC"",""amount"":""45101.00"",""convenience_charge"":""884.00"",""firstname"":""Sameer"",""email"":""sameer@gmail.com"",""phone"":""8721323233"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""924682:924681:924680:924679:924678"",""udf2"":0,""udf3"":""9620:16000:3500:5499:9598"",""error_Message"":""""}"
2606306a435b4a95ea2,DEVTXN932701,CARD,43185.00,847.00,Frd,ffather@trail.com,6472476473,Payment of due invoices as on - June 30 2026,924645:923520:923519:923518:923517,0,7741:16000:3500:5499:9598,"{""status"":""success"",""txnid"":""2606306a435b4a95ea2"",""txn_id"":""DEVTXN932701"",""payment_mode"":""CARD"",""payment_sub_inst"":""CC"",""amount"":""43185.00"",""convenience_charge"":""847.00"",""firstname"":""Frd"",""email"":""ffather@trail.com"",""phone"":""6472476473"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""924645:923520:923519:923518:923517"",""udf2"":0,""udf3"":""7741:16000:3500:5499:9598"",""error_Message"":""""}"
2606306a435b5c7a28e,DEVTXN320679,CARD,36104.00,708.00,Cdc,dc@cvhdec.com,6473657465,Payment of due invoices as on - June 30 2026,923582:923510:923509:923508:923507,0,799:16000:3500:5499:9598,"{""status"":""success"",""txnid"":""2606306a435b5c7a28e"",""txn_id"":""DEVTXN320679"",""payment_mode"":""CARD"",""payment_sub_inst"":""CC"",""amount"":""36104.00"",""convenience_charge"":""708.00"",""firstname"":""Cdc"",""email"":""dc@cvhdec.com"",""phone"":""6473657465"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""923582:923510:923509:923508:923507"",""udf2"":0,""udf3"":""799:16000:3500:5499:9598"",""error_Message"":""""}"
2606306a435b6e29a07,DEVTXN641150,CARD,9790.00,192.00,Veer Singh,sunita.fprints@gmail.com,9090890909,Payment of due invoices as on - June 30 2026,923535,0,9598,"{""status"":""success"",""txnid"":""2606306a435b6e29a07"",""txn_id"":""DEVTXN641150"",""payment_mode"":""CARD"",""payment_sub_inst"":""CC"",""amount"":""9790.00"",""convenience_charge"":""192.00"",""firstname"":""Veer Singh"",""email"":""sunita.fprints@gmail.com"",""phone"":""9090890909"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""923535"",""udf2"":0,""udf3"":""9598"",""error_Message"":""""}"
2606306a435b800092c,DEVTXN716640,CARD,39063.00,766.00,Father,gdcv@bvcbnds.com,7467464234,Payment of due invoices as on - June 30 2026,923516:923515:923514:923513:923512,0,3700:16000:3500:5499:9598,"{""status"":""success"",""txnid"":""2606306a435b800092c"",""txn_id"":""DEVTXN716640"",""payment_mode"":""CARD"",""payment_sub_inst"":""CC"",""amount"":""39063.00"",""convenience_charge"":""766.00"",""firstname"":""Father"",""email"":""gdcv@bvcbnds.com"",""phone"":""7467464234"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""923516:923515:923514:923513:923512"",""udf2"":0,""udf3"":""3700:16000:3500:5499:9598"",""error_Message"":""""}"
2606306a435b91e3bfc,DEVTXN575029,CARD,20398.00,400.00,Mohammed Suneer,70377_father@gmail.com,1816042836,Payment of due invoices as on - June 30 2026,923160:921439:921438,1000,9999:3500:5499,"{""status"":""success"",""txnid"":""2606306a435b91e3bfc"",""txn_id"":""DEVTXN575029"",""payment_mode"":""CARD"",""payment_sub_inst"":""CC"",""amount"":""20398.00"",""convenience_charge"":""400.00"",""firstname"":""Mohammed Suneer"",""email"":""70377_father@gmail.com"",""phone"":""1816042836"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""923160:921439:921438"",""udf2"":1000,""udf3"":""9999:3500:5499"",""error_Message"":""""}"
2606306a435ba3b9ca0,DEVTXN220001,CARD,28345.00,556.00,Lokesh Kumar Vakkapatla,70282_father@gmail.com,1057560151,Payment of due invoices as on - June 30 2026,922686:921409:921408:921407,0,2790:16000:3500:5499,"{""status"":""success"",""txnid"":""2606306a435ba3b9ca0"",""txn_id"":""DEVTXN220001"",""payment_mode"":""CARD"",""payment_sub_inst"":""CC"",""amount"":""28345.00"",""convenience_charge"":""556.00"",""firstname"":""Lokesh Kumar Vakkapatla"",""email"":""70282_father@gmail.com"",""phone"":""1057560151"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""922686:921409:921408:921407"",""udf2"":0,""udf3"":""2790:16000:3500:5499"",""error_Message"":""""}"
2606306a435bb589549,DEVTXN440097,CARD,16450.00,323.00,Pranav Prakash,70243_father@gmail.com,1604395305,Payment of due invoices as on - June 30 2026,923304:921402:921401,0,7128:3500:5499,"{""status"":""success"",""txnid"":""2606306a435bb589549"",""txn_id"":""DEVTXN440097"",""payment_mode"":""CARD"",""payment_sub_inst"":""CC"",""amount"":""16450.00"",""convenience_charge"":""323.00"",""firstname"":""Pranav Prakash"",""email"":""70243_father@gmail.com"",""phone"":""1604395305"",""productinfo"":""Payment of due invoices as on - June 30 2026"",""udf1"":""923304:921402:921401"",""udf2"":0,""udf3"":""7128:3500:5499"",""error_Message"":""""}"
